Resolution,Left-Top,Right-Bottom,Active,Disconnected,Primary,Colors,Frequency,Orientation,Maximum Resolution,Current Scale,Maximum Scale,Name,Adapter,Device ID,Device Key,Monitor ID,Short Monitor ID,Monitor Key,Monitor String,Monitor Name,Monitor Serial Number
1920 X 1080,"0, 0","1920, 1080",Yes,No,Yes,32,144,Default,1920 X 1080,100%,175%,\\.\DISPLAY1,NVIDIA GeForce RTX 3080 Ti,PCI\VEN_10DE&DEV_2208&SUBSYS_1385196E&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{9FB93550-206E-11EF-8AEB-5811224D25E5}\0000,MONITOR\ACI24A4\{4d36e96e-e325-11ce-bfc1-08002be10318}\0002,ACI24A4,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0002,Generic PnP Monitor,VG248,D8LMQS096703
3840 X 2160,"-3840, 10","0, 2170",Yes,No,No,32,60,Default,3840 X 2160,175%,350%,\\.\DISPLAY2,NVIDIA GeForce RTX 3080 Ti,PCI\VEN_10DE&DEV_2208&SUBSYS_1385196E&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{9FB93550-206E-11EF-8AEB-5811224D25E5}\0001,MONITOR\SAM0C4C\{4d36e96e-e325-11ce-bfc1-08002be10318}\0004,SAM0C4C,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0004,Generic PnP Monitor,U28E590,HTPJ805685
